Type,Target,Master,Account,Customer,Department
IN,,LOOKUP_CODE,LOOKUP_CODE,LOOKUP_CODE,LOOKUP_CODE
IN,COSMOS_DIV,DIV,DIV,DIV,COSMOS_DIV
IN,COSMOS_FNC_PRDCT,FNC_PRDCT,,FNC_PRDCT,COSMOS_FNC_PRCD
IN,COSMOS_LGL_ENTY,LGL_ENTY,LGL_ENTY,LGL_ENTY,COSMOS_LGL_ENTY
IN,DATA_TYP_CD,DATA_TYP_CD,DATA_TYP_CD,,DATA_TYP_CD
IN,GRP_POL_NBR,GRP_POL_NBR,GRP_POL_NBR,GRP_POL_NBR,GRP_POL_NBR
IN,SRVC_TYP_CD,,SRVC_TYP_CD,,
IN,GL_IDB_A_DT,START_DATE_ACTIVE,START_DATE_ACTIVE,START_DATE_ACTIVE,START_DATE_ACTIVE
IN,,END_DATE_ACTIVE,END_DATE_ACTIVE,END_DATE_ACTIVE,END_DATE_ACTIVE
IN,CAP_DED_IND,,CAP_DED_IND,,
IN,CAP_DED_TYP,,CAP_DED_TYP,,
IN,ASO_CLAIM_FLAG,,ASO_CLM_FLG,,
IN,COSMOS_ADJ_FLD,ADJ_FLD,ADJ_FLD,,
IN,COSMOS_ASO_BLCD,,ASO_BLCD,,
IN,SOURCE_CD,,SOURCE_CD,,
IN,EXCP_CLM_IND,,EXCP_CLM_IND,,
IN,,ENABLED_FLAG,ENABLED_FLAG,ENABLED_FLAG,ENABLED_FLAG
IN,BUS_SEG_CD,,,BUS_SEG_CD,
IN,COSMOS_SM_GRP_IND,,,SM_GRP_IND,
IN,CMS_HPLAN_ID,,,CMS_HPLAN_ID,
IN,CMS_PBP_NBR,,,CMS_PBP_NBR,
IN,PRVDR_NTWRK_NBR,PRVDR_NTWRK_CD,,PRVDR_NTWRK_CD,PRVDR_NTWRK_CD
IN,pst_acute_care_clm_ind,PST_ACUTE_CARE_CLM_IND,,PST_ACUTE_CARE_CLM_IND,
IN,GL_ZBA_NBR,GL_ZBA_NBR,,,
IN,GL_AMT,,,,
OUT,PS9_GL_CUST_A_NBR,,,GL_CUST_A,
OUT,PS9_GL_ACCT_A_NBR,,GL_ACCT_A_NBR,,
OUT,PS9_GL_DEPT_A_CD,,,,GL_DEPT_A
OUT,PS9_GL_LEG_ENTY_A_CD,COSMOS_BU,,,
OUT,PS9_GL_LOC_A_NBR,COSMOS_LOC,,,
OUT,PS9_GL_PRDCT_A_CD,COSMOS_PROD,,,
OUT,PS9_GL_SEG_A_CD,COSMOS_OU,,,
